ID;Título;Entidade;Status;Requerente - Requerente;Atribuído - Grupo Técnico;Categoria;Descrição
33;Sistemas | ERP - SINQIA (30860);28;2;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório Rebate a Diferir
5) DESCRIÇÃO - ??????????????) : 
pessoal, solicito a gentileza de verificar no relatório de rebates a diferir do mês 10/2025 2 contratos que trouxeram saldo a diferir negativo.
[c71f22f1-8752cc2f-69122dc1f2be48.28270172]

Aproveito também para solicitar um revisão das informações deste relatório, pois temos percebido uma disparidade entre os valores diferidos ao longo dos meses.

Por ultimo, solicito a gentileza de incluir uma coluna de ''Carteira'' para identificarmos facilmente sem que seja necessário associar uma fórmula a outras planilhas.

Desde já agradeço.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
34;Sistemas | ERP - SINQIA (28825);6;4;35;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : informação de Garantia
5) DESCRIÇÃO - ??????????????) : 
Prezado,

Solicito um auxilio para que nós do BackOffice possamos incluir informações sobre outras garantias nas CCBs de  capital de giro 71 e 69 e de CDC 59. Por vezes temos que colocar informações sobre a operação como limite ou bomba que são acopladas em chassi e não temos acesso dependemos do ajuda do Ti. Pensando na otimização do processo solicitamos a vossa ajuda sobre uma solução.

Desde já agradeço!

 

6) ANEXO - ?? : Documento anexado"
35;Sistemas | ERP - SINQIA (30284);7;4;30;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Solicitação de melhoria – Alteração de vencimento sem geração de novo contrato
5) DESCRIÇÃO - ??????????????) : 
Olá, pessoal, tudo bem?

O Departamento de Cobrança identificou uma limitação no sistema relacionada à ALTERAÇÃO DE VENCIMENTO DE TÍTULOS OU CONTRATOS.

Atualmente, o sistema oferece as opções de RENEGOCIAÇÃO e PRORROGAÇÃO; contudo, em ambos os casos, é GERADO UM NOVO NÚMERO DE CONTRATO, encerrando o contrato ou parcela original.

Solicitamos, se possível, avaliar a criação de uma NOVA FUNCIONALIDADE que permita ALTERAR O VENCIMENTO DA PARCELA SEM QUE O SISTEMA GERE UM NOVO CONTRATO, mas que essa alteração REFLITA CORRETAMENTE NOS MÓDULOS DE EM CRÉDITO E GESTÃO DE COBRANÇA.

Ressaltamos que o sistema de PAGAMENTO PROGRAMADO é apenas uma tratativa informal e NÃO ALTERA O VENCIMENTO REAL, mantendo a parcela com o vencimento original no sistema.

Essa funcionalidade seria utilizada SOMENTE EM CASOS ESPECÍFICOS, mediante APROVAÇÃO DA DIRETORIA, quando houver necessidade de AJUSTE DE VENCIMENTO COM  VALORES DE JUROS E DEMAIS ENCARGOS  COM CAMPO ABERTO PARA AS DEVIDAS ALTERAÇÕES — situação que atualmente não é possível realizar pela função de prorrogação.

Ficamos à disposição para detalhar os casos de uso e apoiar nos testes, se necessário.

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
36;Sistemas | ERP - SINQIA (29982);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Novo Layout DESIF Prefeitura de Pouso Alegre
5) DESCRIÇÃO - ??????????????) : 
Prezados

A partir de 14/10/2025 a Prefeitura de Pouso Alegre disponibilizou novo sistema para declaração de regulatórios.

Em anexo novo layout da DESIF se adequando ao padrão ABRASF com declaração através dos Módulos:

Módulo 1 - Demonstrativo Contábil

Módulo 2 - Apuração Mensal do ISSQN

Módulo 3 - Informações Comuns aos Municípios

Módulo 4 - Demonstrativo das Partidas dos Lançamentos Contábeis

Para o mês de Novembro/25 precisamos enviar o arquivo no novo layout.

Link contendo layout e vídeos explicativos: Atualização do Sistema Fiscal Web

O sistema ainda está sendo migrado, segundo a Prefeitura a previsão de conclusão será na próxima semana.

 

 

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
37;Sistemas | ERP - SINQIA (25381);33;4;41;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Cálculo Rebate e Taxa Referencial 
5) DESCRIÇÃO - ??????????????) : 
Inserimos o valor de taxa referencial em uma das nossas operações no dia 28/03, constando 4,613594, nesse caso o ''PC. equali'' trouxe o valor de 7,48% que seria o percentual de rebate para essa operação com 0% de taxa ao cliente. 

Gostariamos apenas de solicitar a revisão do cálculo, pois conforme o time de produtos vem calculando a taxa referencial, estamos tendo algumas divergências nas casas decimais e as vezes em até 2 pontos. 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
38;Sistemas | ERP - SINQIA (28991);7;2;30;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM COB - Gestão de Vencidos - EM COB - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Atualização da esteira de Cobrança
5) DESCRIÇÃO - ??????????????) : 
Meninos, 

estou enviado por anexo a atualização da esteira de cobrança para que vcs possam atualizar, aproveiro para informar que temos clientes em atraso que nao aparecem dentro da esteira e peço para verificar o motivo, precisamos que todos os clientes a partir de  1 dia de atraso apareçam nesse esteira para iniciar as movimentações são eles:

 		Augusto 
 		26710005
 		1 Dias de atraso

 		Engeneves
 		46190007
 		3 Dias de atraso

6) ANEXO - ?? : Documento anexado"
39;Sistemas | ERP - SINQIA (29656);8;4;48;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : EM - Entendimento Relatório Apropriação Futura
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

Gostariamos de entender qual a lógica e de onde buscam as informações para gerar ese relatório.

Obrigado![c71f22f1-8752cc2f-68dd33537c2ea5.72745688]

6) EVIDÊNCIA(S) - ?? : Documento anexado"
40;Gestão de Acessos | Usuário - AD (29265);33;4;22;2;67;"DADOS DO FORMULÁRIO

GESTÃO DE ACESSOS - ????

1) SELECIONE A OPÇÃO DESEJADA - ??????? : Usuário - AD - AD - ??
2) SOLICITAÇÃO - ?? : Solicitação de Bloqueio - ????
3) INFORME O NOME COMPLETO DO COLABORADOR - ??????? : Andy Chin Hong Wang
4) DESCRIÇÃO - ??????????????) : 
Solicito a revogação dos acessos do ex colaborador Andy Chin Hong Wang.

5) ANEXO - ?? : Nenhum documento anexado"
41;EM - Pagamento do Rebate para mais de um Beneficiário (29360);33;4;41;3;225;"Dados do formulário

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ?? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Atender necessidades de criação de produtos para campnahas junto a Dealers 
5) DESCRIÇÃO - ??????????????) :
Ser possível cadastrar mais de 1 beneficiário para o pagamento (Descontado/Retido ou Bancado) para o pagamento de rebate.

Quando Dealer quer subsidiar uma taxa, perdemos o rebate automático da XCMG de 2%.

O ideal seria poder continuar recebendo os 2% da XCMG e o adicional para obter a taxa desejada na campanha do Dealer.

Exemplo: taxa desejada de 0,99% em 24 meses - rebate necessário de 8,5% 

- XCMG Industria arcaria com 2,0% (bancado)

- Dealer acararia com a diferença de 6,5% (desontado)

6) ANEXO - ?? : Nenhum documento anexado"
42;Cálculos do FGC Contribuições (29275);28;2;11;3;225;"boa tarde!

Conforme falamos a 4 semanas atrás, homologamos a versão aplicada 22.2 sobre a correção do chamado antigo Out/22 (print anexo), o sistema gera incorretamente os valores do FGC contribuições.

Seria esperado esta data base de Out/23 gerar corretamente, (segue evidência da geração valores errado e valores que deveriam trazer corretamente), incluído a regra do FGC Contribuições.

A disposição"
43;Sistemas | ERP - SINQIA (27795);7;4;47;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Duplicidade de informações do relatório posição de contratos
5) DESCRIÇÃO - ??????????????) : 
Prezados, 

O relatório posição de contratos está apresentando informações em duplicidade, conforme anexo. 

Desde já, agradeço. 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
44;Alteração da nomenclatura: CONGLOMERADO ECONOMICO (9408);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CD - Cadastro - CD - ?? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Alteração da nomenclatura: CONGLOMERADO ECONOMICO 
5) DESCRIÇÃO - ??????????????) : 
Hoje em reuniao com o Compliance e Depto de Crédito fomos informados que o Banco Central do Brasil informou que a nomenclatura correta de CONGLOMERADO ECONOMICO é ''CONTRAPARTES CONECTADAS''.

Já estamos fazendo a alteração do nome para ''CONTRAPARTES CONECTADAS'' nos devidos manuais (crédito, cadatro e Risco).

Gentileza alterar o nome de conglomerados econômicos no sistema Sinqia CD para ''CONTRAPARTES CONECTADAS'' para atender corretamente a solicitação do BACEN.

Sigo a disposição para qualquer esclarecimento!

At.te,

 

6) ANEXO - ?? : Documento anexado "
45;NFTS - Nota Fiscal do Tomador do Serviços São Paulo (11055);28;4;51;3;225;"Bom dia,

O Banco XCMG está abrindo uma nova filial na cidade de São Paulo, com isso teremos que entregar o regulatório NFTS.

O sistema nos atende com está demanda para gerar o regulatório ?

em anexo o leiaute da NFTS."
46;Sistemas | ERP - SINQIA (28897);28;2;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Erro na homologação da importação da ECD no sistema RFB
5) DESCRIÇÃO - ??????????????) : 
Solicito a gentileza de seu apoio com o erro apontado no processo de homologação do COILG.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
47;Sistemas | ERP - SINQIA (23815);29;4;40;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Valor de acréscimo integrado com divergência
5) DESCRIÇÃO - ??????????????) : 
Bom dia, Lucas,

Como falamos, estamos com divergência de valor integrado do SPD para o TE Web.

A despesa da Serpo, com acréscimos de 52,74 na Banxo do gerenciamento está ok, porém no campo de autorização do gerenciamento está com valor de 52..739.999.999.999.995,00. prints em anexo.

Poderiam verificar?

Fico a disposição.

Obrigada

6) EVIDÊNCIA(S) - ?? : Documento anexado"
48;Infraestrutura | Arquivos Corporativos (28953);10;4;9;1;151;"DADOS DO FORMULÁRIO

INFRAESTRUTURA - ????

1) SELECIONE A OPÇÃO DESEJADA - ??????? : Arquivos Corporativos - ????
2) SOLICITAÇÃO - ?? : Servidor de Arquivos - File Server - ????? - File Server
3) SOLICITAÇÃO - ?? : Falha/Defeito - ??/??
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO COM RELAÇÃO A REDE CORPORATIVA - ?????????????????? : Arquivos CIP não estão sendo enviados para processamento
5) DESCRIÇÃO - ??????????????) : 
Bom dia, 

Os arquivos emitidos CIP ao serem colocados na pasta para envio não estão sendo processados. Por gentileza verificar.

M:\Centro Financeiro\Credito\Area Comum\CIP\CadastroPositivo\ENVIO

6) ANEXO - ?? : Documento anexado"
49;Softwares | Comunicadores(Skype, Wechat, Teams) (28000);5;4;46;1;197;"DADOS DO FORMULÁRIO

SOFTWARES - ??

1) SELECIONE O SOFTWARE - ???? : Comunicadores(Skype, Wechat, Teams)
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Skype, WeChat, Teams e QQ - ????
3) SOLICITAÇÃO - ?? : Dúvida Operacionais - ????
4) DESCRIÇÃO - ??????????????) : 
Favor deixar o Teams com abertura automática assim que ligamos o PC e desativar o Skype que está em desuso. 

Colaboradores:

Claudete Hilda P Bejo - XC05L0029

Daniel Anisio Alves - XC05L0017

 

Obrigada.

5) ANEXO - ?? : Documento anexado"
50;Equipamentos | Desktop/Laptop/Monitor (28692);17;4;44;1;249;"DADOS DO FORMULÁRIO

EQUIPAMENTOS - ??

1) SELECIONE A OPÇÃO DESEJADA - ??????? : Desktop/Laptop/Monitor - ???/???/???
2) SOLICITAÇÃO - ?? : Falha/Defeito - ??/??
3) DESCRIÇÃO - ??????????????) : 
Bom dia, time TI!

Solicito, por gentileza, a substituição do laptop em razão de defeito identificado no teclado.

Obrigada!

4) EVIDÊNCIA(S) - ?? : Documento anexado"
51;Softwares | Outros (28942);25;2;42;1;206;"DADOS DO FORMULÁRIO

SOFTWARES - ??

1) SELECIONE O SOFTWARE - ???? : Outros - ??
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Demais programas - ????
3) SOLICITAÇÃO - ?? : Dúvida Operacionais - ????
4) INFORME PROGRAMA A SER INSTALADO - ???????? : n
5) JUSTIFIQUE A NECESSIDADE PARA USO - ???????? : Relatorio
6) DESCRIÇÃO - ??????????????) : 
Relatório que possa identificar o tempo de esteira, segmento por processo / departamento, de cada proposta enviada através da Sinqia

7) ANEXO - ?? : Nenhum documento anexado"
52;Softwares | Outros (28824);28;2;11;1;205;"DADOS DO FORMULÁRIO

SOFTWARES - ??

1) SELECIONE O SOFTWARE - ???? : Outros - ??
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Demais programas - ????
3) SOLICITAÇÃO - ?? : Instalação - ??
4) INFORME PROGRAMA A SER INSTALADO - ???????? : PDF Creator
5) JUSTIFIQUE A NECESSIDADE PARA USO - ???????? : Programa indicado pelo Banco Central para parametrização do cadoc 9010
6) DESCRIÇÃO - ??????????????) : 
SOlicito a gentileza de seu apoio em instalar o pdf creator em minha máquina para preparo e envio do CADOC 9010. Obrigada

7) ANEXO - ?? : Nenhum documento anexado"
53;CHANGE - Controle do Limite Operacional de 30% do Patrimônio de Referência (PR) (2905);16;4;36;3;175;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - CHANGE - ?????? - CHANGE 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Melhoria - ?? 
3) EXPLIQUE A MELHORIA SUGERIDA - ??????? : Controle do Limite Operacional de 30% do Patrimônio de Referência (PR) 
4) DESCRIÇÃO - ??????????????) : 
Bom dia!

 

Conforme Resolução CMN 4956/2021 o Banco deve controlar o limite de exposição em moeda estrangeira, sendo esse limite máximo de 30% do PR. 

Assim, solicitamos uma melhoria no sistema que permita que a área de risco o controle diário, toda vez que o Banco ficar exposto em valores de moeda estrangeira superior aos 30%. 

 

Atenciosamente, 

 

5) EVIDÊNCIA(S) - ?? : Documento anexado "
54;Sistemas | ERP - SINQIA (27510);16;4;36;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Trilha de Auditoria
5) DESCRIÇÃO - ??????????????) : 
Prezados, 

Bom dia!

Preciso da trilha de auditoria do cliente STARK CONSTRUTORA LTDA CNPJ 37.697.503/0001-78 E FABRÍCIO DE ANDRADE 833.544.170-72 (PROPOSTA NUMERO 3943-8)

ESSE CHAMADO É SIGILOSO. 

Obrigada,
Flávia M. 

6) ANEXO - ?? : Nenhum documento anexado"
55;Sistemas | ERP - SINQIA (28674);7;4;30;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Pessoal, Poderiam, por gentileza, verificar a possibilidade de configurar o Contas a Receber para que as baixas de juros sejam realizadas automaticamente sempre que o valor for zero reais?
5) DESCRIÇÃO - ??????????????) : 
PESSOAL,

Poderiam, por gentileza, verificar a possibilidade de configurar o CONTAS A RECEBER para que as baixas de juros sejam realizadas AUTOMATICAMENTE sempre que o valor for ZERO REAIS?

6) ANEXO - ?? : Nenhum documento anexado"
56;Ataque Pix (28644);8;4;48;3;225;"Bom dia!

Espero que estejam bem.

Conforme comunicado enviado pelo Marcius no sábado sobre o ataque no ambiente PIX e sabendo que todo o nosso ambiente é On-Primesses, teremos algum impactos nos serviços ou precisamos tomar alguma ação interna ??

 

Obrigado!"
57;GM - Liberação de acesso WhatsApp - Claudete Bejo (27981);5;4;46;3;205;"DADOS DO FORMULÁRIO

SOFTWARES - ??

1) SELECIONE O SOFTWARE - ???? : Outros 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : Demais programas - ???? 
3) SOLICITAÇÃO - ?? : Instalação - ?? 
4) INFORME PROGRAMA A SER INSTALADO - ???????? : whats app corportivo 
5) JUSTIFIQUE A NECESSIDADE PARA USO - ???????? : recebemos grandes volumes de documentos de clientes e vendedores pelo whats app corporativo e não temos como baixar 
6) DESCRIÇÃO - ??????????????) : 
O Departamento Comercial, recebe grandes volumes de documentos de clientes e vendedores pelo whats app corporativo e não temos como baixar.

7) ANEXO - ?? : Documento anexado "
58;SD-142185 XCMG - BNDES - Valor Total do Contrato com Juros futuros não ok no Bndes (11897);6;4;35;3;225;Este item foi aberto pelo Danilo evidenciando que no CDC pós fixado, tanto no FO quanto no EM aparece o valor dos juros futuros no campo de Valor Total, mas isto nao ocorre no produto Bndes. Eles precisam desta informação porque a mesma aparece em suas minutas (CCB). No caso do Bndes, neste campo aparece o Total financiado e não o valor futuro com juros.
59;Sistemas | ERP - SINQIA (24778);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Cadastro no modulo CD está com todos dados preenchidos e o modulo FO não aparece
5) DESCRIÇÃO - ??????????????) : 
Cadastro do cliente SANTIN EQUIP. - Cód. 605-0 (no momento está sem contrato ativo) está com todos os dados cadastrais realizados no módulo CD, porém quando abre o cadastro no módulo FO não aparece as informações na parte de Identificação, Sócios e Referencias bancarias.

Favor validar.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
60;Sistemas | ERP - SINQIA (23709);33;4;22;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Finame
5) DESCRIÇÃO - ??????????????) : 
Solicito a retomada de implantação do projeto Finame.

Abaixo coloco alguns links úteis que contém documentação para integração com o BNDES Online:

https://www.bndes.gov.br/sbn/BNDES_online/index.html

https://apis-h.bndes.gov.br/store/

https://www.bndes.gov.br/SiteBNDES/bndes/bndes_pt/Galerias/Convivencia/Moedas_Contratuais/index.html

6) ANEXO - ?? : Nenhum documento anexado"
61;Sistemas | ERP - SINQIA (18183);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Controle Perdas no Recebimento de Créditos - Lei 14.467/2022
5) DESCRIÇÃO - ??????????????) : 
Prezados

Por favor verificar junto ao time da Sinqia como estará funcionando no sistema as novas regras de dedutibilidade de IRPJ/CSLL sobre as perdas no recebimento de créditos, conforme as novas regras estabelecidas na Lei 14.467/2022.

Atualmente conseguimos visualizar os contratos lançados para Prejuízo no Relatório ''Prejuízo Fiscal'' e tomar a dedutibilidade. 

A partir de Janeiro/2025 teremos novas regras e gostaríamos de saber como o sistema irá se comportar.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
62;Sistemas | ERP - SINQIA (15511);10;4;45;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Temos que ter os registros de aprovações das cartas de fiança
5) DESCRIÇÃO - ??????????????) : 
Solicitamos que seja criada uma esteira para as operações de Carta de Fiança.

Temos que ter registrado o inicio, aprovação e formalização da operação dentro do sistema.

6) ANEXO - ?? : Nenhum documento anexado"
63;Exclusão de NF após integrar proposta no EM (2863);6;4;10;3;225;"SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Quando editamos a PROPOSTA no FO a NF que foi lançada no EM exclui automaticamente
5) DESCRIÇÃO - ??????????????) : 
Bom dia!

Efetuei a inclusão de 5 NFs no EM, e hoje para prepara o desembolso da operação entrei no FO e editei a proposta para que a flag do IOF fosse marcada para seguir com desembolso.

Porém ao entrar no EM as 5 NFs foram excluídas automaticamente.

Segue anexo a evidência de teste realizado e para os próximos desembolso caso seja necessário editar a proposta vamos incluir a NF no EM somente depois da edição.

Sigo a disposição!

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
64;EM - Desembolsos em 29, 30 e 31 de Janeiro (4782);25;4;42;3;225;"Atualmente quando realizamos desembolsos nos dias 29, 30 e 31 de Janeiro, todos as parcelas têm seus respectivos vencimentos antecipados para o dia 28 de cada mês.

Tendo em vista de que isso gera perda financeira para o banco de acordo com a quantidade de dias que são alterados, precisamos que o sistema seja capaz de levar a consideração da data do desembolso para os cálculos dos vencimentos e que todos os valores da proposta original se mantenham."
65;Gestão de Acessos | ERP - B3 - SNG (25366);10;4;9;3;107;"DADOS DO FORMULÁRIO

GESTÃO DE ACESSOS - ????

1) SELECIONE A OPÇÃO DESEJADA - ??????? : ERP - B3 - SNG - ?????? - B3 - SNG
2) SOLICITAÇÃO - ?? : Liberação de Acesso - ????
3) DESCRIÇÃO - ??????????????) : 
Bom dia, 

Gostaria de solicitar acesso ao sistema B3-SNG

4) ANEXO - ?? : Nenhum documento anexado"
66;Sistemas | ERP - SINQIA (26876);28;4;37;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório Consulta saldo segregado
5) DESCRIÇÃO - ??????????????) : 
O relatório Consulta saldo segregado, precisa segregar os saldos apresentados, por classificação de Carteira, conforme Res BCB 352. (C1, C2, C3, C4 e C5)

 

O caminho no app :

 

[c71f22f1-8752cc2f-68765a7fa67a98.45472247]

 

[c71f22f1-8752cc2f-68765aac642330.87361344]

6) EVIDÊNCIA(S) - ?? : Documento anexado"
67;FO - Tipo de Sócio Acionista Administradores (11654);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ???? 
3) SOLICITAÇÃO - ?? : Melhoria - ?? 
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Inclusao de novo tipo de socio/acionista/administradores no módulo FO cadastro PJ 
5) DESCRIÇÃO - ??????????????) : 
Boa tarde!

Para uma melhor amarração de sócios, administradores, beneficiário final, devedor solidário que participam da operação de crédito e assinam a CCB, peço que incluam a opção no módulo Portal de Credito - FO cadastro de PJ, na parte de inclusão dos SÓCIOS/ACIONISTAS/ADMINISTRADORES um novo TIPO com a descrição DEVEDOR SOLIDÁRIO.

Com esse novo TIPO de descrição conseguiremos incluir o devedor solidário que participa da operação conforme determinação do crédito mesmo não fazendo parte do quadro QSA da empresa, trazendo mais clareza nas buscar de informações.

Desde já agradeço e sigo a disposição para qualquer esclarecimento.

6) ANEXO - ?? : Documento anexado "
